section_title,count
"PREFACE",83
"ПРИЛОЖЕНИЕ № 1",21
"ПРЕДМЕТ КОНТРАКТА",17
"1. ПРЕДМЕТ КОНТРАКТА",16
"ПРОЧИЕ УСЛОВИЯ",15
"ПРИЛОЖЕНИЕ № 2",14
"ARBITRATION",12
"ОТВЕТСТВЕННОСТЬ СТОРОН",10
"ПРИЛОЖЕНИЕ № 1 К КОНТРАКТУ № ____ ОТ _____________202Г.",10
"ПРИЛОЖЕНИЕ № 7 К КОНТРАКТУ",9
"1. ПРЕДМЕТ ДОГОВОРА",8
"АРБИТРАЖ",8
"1. SUBJECT OF THE CONTRACT",6
"SUBJECT OF THE CONTRACT",6
"ПРИЛОЖЕНИЕ № 3",6
"4.1. ПОСТАВЩИК ОБЯЗАН:",6
"4.4. ЗАКАЗЧИК ВПРАВЕ:",6
"3. PAYMENT TERMS",5
"2. EVERYTHING NOT EXPRESSLY ENVISAGED BY THIS APPENDIX, THE PARTIES SHALL BE GOVERNED BY TERMS AND CONDITIONS OF THE CONTRACT.",5
"5. THE PARTIES ACKNOWLEDGE RECEIPT OF ONE COPY OF THIS APPENDIX, UNDERSTAND AND AGREE ITS TERMS AND CONDITIONS.",5
"3.3. ЗАКАЗЧИК ОБЯЗАН:",5
"4.2. ПОСТАВЩИК ВПРАВЕ:",5
"OTHER CONDITIONS",4
"3.1. ПОСТАВЩИК ОБЯЗАН:",4
"4.3. ЗАКАЗЧИК ОБЯЗУЕТСЯ:",4
"CLAMPING UNIT / OTHERS",3
"8. ОТВЕТСТВЕННОСТЬ СТОРОН",3
"1. ПРЕДМЕТ КОНТРАКТА / 1. SUBJECT OF THE CONTRACT",3
"6. DELIVERY TERMS",3
"6.2. BASED ON THE RESULTS OF ACCEPTANCE OF THE RECEIVED GOODS, THE PURCHASER SIGNS AND SENDS TO THE SUPPLIER'S REPRESENTATIVE ONE COPY OF THE TRANSFER AND ACCEPTANCE CERTIFICATE, WHICH REFLECTS THE SUPPLIER'S COMPLIANCE WITH THE DELIVERY TIME, AS WELL AS THE COMPLIANCE OF THE GOODS WITH THE REQUIREMENTS OF THIS CONTRACT IN TERMS OF QUANTITY AND QUALITY, PACKAGING AND LABELING. THE DATA SPECIFIED IN THE ACT WILL BE FINAL AND BINDING ON BOTH PARTIES. IF INCONSISTENCIES ARE FOUND DURING THE RECEPTION, CONSUMERS MAKE A CLAIM, TAKING INTO ACCOUNT ALL INCONSISTENCIES AND SHORTCOMINGS, AND THE USE IS NOT ACCEPTED.",3
"7. FORCE MAJEURE EVENT / 7. ФОРС-МАЖОРНЫЕ ОБСТОЯТЕЛЬСТВА",3
"7.3. IF, DUE TO A CHANGE IN THE LEGISLATION OF THE PARTIES, THE SUPPLIER CANNOT DELIVER THE GOODS ON TIME OR THE PURCHASER CANNOT ACCEPT THE DELIVERY OF THE GOODS ON TIME, THE SUPPLIER DOES NOT BEAR ANY RESPONSIBILITY AND DOES NOT COMPENSATE THE PURCHASER 'S LOSSES. THE PARTIES SHALL SOLVE THE MATTER OF DELIVERY THROUGH NEGOTIATION IN GOOD FAITH.",3
"8.1. ТОВАРЫ, ПРЕДУСМОТРЕННЫЕ НАСТОЯЩИМ КОНТРАКТОМ, БУДУТ:",3
"8.5. THE PURCHASER HAS THE RIGHT TO RETURN THE GOODS TO THE SUPPLIER WITHIN THE WARRANTY PERIOD, IN THE EVENT OF A DEFECT OR NON-CONFORMITY OF THE GOODS TO THE QUALITY PROVIDED FOR BY THE TECHNICAL PASSPORT AND CERTIFICATE OF QUALITY, NOTIFYING THE SUPPLIER IN WRITING ABOUT THIS.",3
"9. LIABILITY / 9. ОТВЕТСТВЕННОСТЬ",3
