section_id,title,count
preface,PREFACE,83
приложение_no_1,ПРИЛОЖЕНИЕ № 1,21
предмет_контракта,ПРЕДМЕТ КОНТРАКТА,17
s_1_предмет_контракта,1. ПРЕДМЕТ КОНТРАКТА,16
прочие_условия,ПРОЧИЕ УСЛОВИЯ,15
приложение_no_2,ПРИЛОЖЕНИЕ № 2,14
arbitration,ARBITRATION,12
ответственность_сторон,ОТВЕТСТВЕННОСТЬ СТОРОН,10
приложение_no_1_к_контракту_no_от_202г,ПРИЛОЖЕНИЕ № 1 К КОНТРАКТУ № ____ ОТ _____________202Г.,10
приложение_no_7_к_контракту,ПРИЛОЖЕНИЕ № 7 К КОНТРАКТУ,9
s_1_предмет_договора,1. ПРЕДМЕТ ДОГОВОРА,8
арбитраж,АРБИТРАЖ,8
s_1_subject_of_the_contract,1. SUBJECT OF THE CONTRACT,6
subject_of_the_contract,SUBJECT OF THE CONTRACT,6
приложение_no_3,ПРИЛОЖЕНИЕ № 3,6
s_4_1_поставщик_обязан,4.1. ПОСТАВЩИК ОБЯЗАН:,6
s_4_4_заказчик_вправе,4.4. ЗАКАЗЧИК ВПРАВЕ:,6
s_3_payment_terms,3. PAYMENT TERMS,5
s_2_everything_not_expressly_envisaged_by_this_appendix_the_parties_shall_be_governed_by_terms_and_conditions_of_the_contract,"2. EVERYTHING NOT EXPRESSLY ENVISAGED BY THIS APPENDIX, THE PARTIES SHALL BE GOVERNED BY TERMS AND CONDITIONS OF THE CONTRACT.",5
s_5_the_parties_acknowledge_receipt_of_one_copy_of_this_appendix_understand_and_agree_its_terms_and_conditions,"5. THE PARTIES ACKNOWLEDGE RECEIPT OF ONE COPY OF THIS APPENDIX, UNDERSTAND AND AGREE ITS TERMS AND CONDITIONS.",5
s_3_3_заказчик_обязан,3.3. ЗАКАЗЧИК ОБЯЗАН:,5
s_4_2_поставщик_вправе,4.2. ПОСТАВЩИК ВПРАВЕ:,5
other_conditions,OTHER CONDITIONS,4
s_3_1_поставщик_обязан,3.1. ПОСТАВЩИК ОБЯЗАН:,4
s_4_3_заказчик_обязуется,4.3. ЗАКАЗЧИК ОБЯЗУЕТСЯ:,4
clamping_unit_others,CLAMPING UNIT / OTHERS,3
s_8_ответственность_сторон,8. ОТВЕТСТВЕННОСТЬ СТОРОН,3
s_1_предмет_контракта_1_subject_of_the_contract,1. ПРЕДМЕТ КОНТРАКТА / 1. SUBJECT OF THE CONTRACT,3
s_6_delivery_terms,6. DELIVERY TERMS,3
s_6_2_based_on_the_results_of_acceptance_of_the_received_goods_the_purchaser_signs_and_sends_to_the_supplier_s_representative_one_copy_of_the_transfer_and_acceptance_certificate_which_reflects_the_supplier_s_compliance_with_the_delivery_time_as_well_as_the_compliance_of_the_goods_with_the_requirements_of_this_contract_in_terms_of_quantity_and_quality_packaging_and_labeling_the_data_specified_in_the_act_will_be_final_and_binding_on_both_parties_if_inconsistencies_are_found_during_the_reception_consumers_make_a_claim_taking_into_account_all_inconsistencies_and_shortcomings_and_the_use_is_not_accepted,"6.2. BASED ON THE RESULTS OF ACCEPTANCE OF THE RECEIVED GOODS, THE PURCHASER SIGNS AND SENDS TO THE SUPPLIER'S REPRESENTATIVE ONE COPY OF THE TRANSFER AND ACCEPTANCE CERTIFICATE, WHICH REFLECTS THE SUPPLIER'S COMPLIANCE WITH THE DELIVERY TIME, AS WELL AS THE COMPLIANCE OF THE GOODS WITH THE REQUIREMENTS OF THIS CONTRACT IN TERMS OF QUANTITY AND QUALITY, PACKAGING AND LABELING. THE DATA SPECIFIED IN THE ACT WILL BE FINAL AND BINDING ON BOTH PARTIES. IF INCONSISTENCIES ARE FOUND DURING THE RECEPTION, CONSUMERS MAKE A CLAIM, TAKING INTO ACCOUNT ALL INCONSISTENCIES AND SHORTCOMINGS, AND THE USE IS NOT ACCEPTED.",3
s_7_force_majeure_event_7_форс_мажорные_обстоятельства,7. FORCE MAJEURE EVENT / 7. ФОРС-МАЖОРНЫЕ ОБСТОЯТЕЛЬСТВА,3
s_7_3_if_due_to_a_change_in_the_legislation_of_the_parties_the_supplier_cannot_deliver_the_goods_on_time_or_the_purchaser_cannot_accept_the_delivery_of_the_goods_on_time_the_supplier_does_not_bear_any_responsibility_and_does_not_compensate_the_purchaser_s_losses_the_parties_shall_solve_the_matter_of_delivery_through_negotiation_in_good_faith,"7.3. IF, DUE TO A CHANGE IN THE LEGISLATION OF THE PARTIES, THE SUPPLIER CANNOT DELIVER THE GOODS ON TIME OR THE PURCHASER CANNOT ACCEPT THE DELIVERY OF THE GOODS ON TIME, THE SUPPLIER DOES NOT BEAR ANY RESPONSIBILITY AND DOES NOT COMPENSATE THE PURCHASER 'S LOSSES. THE PARTIES SHALL SOLVE THE MATTER OF DELIVERY THROUGH NEGOTIATION IN GOOD FAITH.",3
s_8_1_товары_предусмотренные_настоящим_контрактом_будут,"8.1. ТОВАРЫ, ПРЕДУСМОТРЕННЫЕ НАСТОЯЩИМ КОНТРАКТОМ, БУДУТ:",3
s_8_5_the_purchaser_has_the_right_to_return_the_goods_to_the_supplier_within_the_warranty_period_in_the_event_of_a_defect_or_non_conformity_of_the_goods_to_the_quality_provided_for_by_the_technical_passport_and_certificate_of_quality_notifying_the_supplier_in_writing_about_this,"8.5. THE PURCHASER HAS THE RIGHT TO RETURN THE GOODS TO THE SUPPLIER WITHIN THE WARRANTY PERIOD, IN THE EVENT OF A DEFECT OR NON-CONFORMITY OF THE GOODS TO THE QUALITY PROVIDED FOR BY THE TECHNICAL PASSPORT AND CERTIFICATE OF QUALITY, NOTIFYING THE SUPPLIER IN WRITING ABOUT THIS.",3
s_9_liability_9_ответственность,9. LIABILITY / 9. ОТВЕТСТВЕННОСТЬ,3
s_10_3_конфиденциальная_информация_может_быть_раскрыта_одной_стороной,10.3. КОНФИДЕНЦИАЛЬНАЯ ИНФОРМАЦИЯ МОЖЕТ БЫТЬ РАСКРЫТА ОДНОЙ СТОРОНОЙ:,3
