contract_id;source;status;segments_count;error
CONTRACT of executor__headings_fixed;docx;ok;17;
CONTRACT on supply of goods__headings_fixed;docx;ok;22;
CONTRACTS FOR THE PROVISION OF GOODS__headings_fixed;docx;ok;14;
Contract Egypt__headings_fixed;docx;ok;17;
Contract London__headings_fixed;docx;ok;30;
Contract Terms and Conditions__headings_fixed;docx;ok;47;
Contract UzChassy__headings_fixed;docx;ok;16;
DELIVERY TERMS TO THE SELLER’S INVOICE__headings_fixed;docx;ok;19;
GENERAL CONDITIONS OF CONTRACT__headings_fixed;docx;ok;14;
GENERAL TERMS AND CONDITIONS FOR DELIVERIES__headings_fixed;docx;ok;15;
General Conditions of Sale __headings_fixed;docx;ok;19;
General Terms and Conditions of Sale__headings_fixed;docx;ok;17;
Standard Agreement __headings_fixed;docx;ok;16;
Standard Terms and Conditions of Sale__headings_fixed;docx;ok;20;
TERMS AND CONDITIONS OF SUPPLY__headings_fixed;docx;ok;32;
ДОГОВОР ПОСТАВКИ ОБОРУДОВАНИЯ (2)__headings_fixed;docx;ok;50;
ДОГОВОР поставки шаблон__headings_fixed;docx;ok;16;
Двуязычная проформа договора__headings_fixed;docx;ok;11;
Двуязычный ВНЕШНЕЭКОНОМИЧЕСКИЙ ДОГОВОР КОНТРАКТ__headings_fixed;docx;ok;34;
Двуязычный ДОГОВОР ВЫПОЛНЕНИЯ РАБОТ __headings_fixed;docx;ok;30;
Двуязычный Договор_КТК-Р_нерезидент__headings_fixed;docx;ok;31;
Двуязычный Контракт на поставку Системы__headings_fixed;docx;ok;22;
Двуязычный договор Узбекистан__headings_fixed;docx;ok;21;
Двуязычный договор поставки 2__headings_fixed;docx;ok;8;
Двуязычный договор__headings_fixed;docx;ok;16;
Двуязычный контракт (2)__headings_fixed;docx;ok;15;
Двуязычный контракт (3)__headings_fixed;docx;ok;32;
Двуязычный контракт (4)__headings_fixed;docx;ok;25;
Двуязычный контракт 2__headings_fixed;docx;ok;17;
Двуязычный контракт __headings_fixed;docx;ok;44;
Двуязычный контракт Автомобильный Завод__headings_fixed;docx;ok;7;
Двуязычный контракт Автомоторс;docx;ok;17;
Двуязычный контракт Андижан (2)__headings_fixed;docx;ok;32;
Двуязычный контракт Андижан__headings_fixed;docx;ok;11;
Двуязычный контракт Бухара__headings_fixed;docx;ok;24;
Двуязычный контракт Глазго__headings_fixed;docx;ok;40;
Двуязычный контракт Горно-Металлургический  Комбинат__headings_fixed;docx;ok;31;
Двуязычный контракт Кварц__headings_fixed;docx;ok;29;
Двуязычный контракт Купли-продажи товара__headings_fixed;docx;ok;16;
Двуязычный контракт Мейн__headings_fixed;docx;ok;14;
Двуязычный контракт Метрология__headings_fixed;docx;ok;44;
Двуязычный контракт Минск__headings_fixed;docx;ok;22;
Двуязычный контракт Мозырь__headings_fixed;docx;ok;35;
Двуязычный контракт Моторс__headings_fixed;docx;ok;25;
Двуязычный контракт НПЗ__headings_fixed;docx;ok;23;
Двуязычный контракт Новиков__headings_fixed;docx;ok;20;
Двуязычный контракт Севастополь__headings_fixed;docx;ok;34;
Двуязычный контракт Северсталь__headings_fixed;docx;ok;66;
Двуязычный контракт Сегежа__headings_fixed;docx;ok;40;
Двуязычный контракт Ташкент (2)__headings_fixed;docx;ok;52;
Двуязычный контракт Ташкент (3)__headings_fixed;docx;ok;26;
Двуязычный контракт Ташкент__headings_fixed;docx;ok;32;
Двуязычный контракт газо-химический комплекс__headings_fixed;docx;ok;64;
Двуязычный контракт купли-продажи__headings_fixed;docx;ok;29;
Двуязычный контракт на поставку масел__headings_fixed;docx;ok;22;
Двуязычный контракт образец__headings_fixed;docx;ok;33;
Двуязычный контракт полный__headings_fixed;docx;ok;121;
